GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),TIMEPERIOD (CODE),TIMEPERIOD (DISPLAY),TIMEPERIOD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1987,1987,,EMR,Eastern Mediterranean,,DJI,1987,1987,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.1 [4.4-5.7],5.10000,4.40000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1988,1988,,EMR,Eastern Mediterranean,,DJI,1988,1988,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.1 [4.4-5.8],5.10000,4.40000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1989,1989,,EMR,Eastern Mediterranean,,DJI,1989,1989,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.1 [4.4-5.8],5.10000,4.40000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1990,1990,,EMR,Eastern Mediterranean,,DJI,1990,1990,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.1 [4.5-5.8],5.10000,4.50000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1991,1991,,EMR,Eastern Mediterranean,,DJI,1991,1991,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.1 [4.5-5.8],5.10000,4.50000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2004,2004,,EMR,Eastern Mediterranean,,DJI,2004,2004,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.3 [4.5-5.9],5.30000,4.50000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2005,2005,,EMR,Eastern Mediterranean,,DJI,2005,2005,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.3 [4.5-6.0],5.30000,4.50000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2006,2006,,EMR,Eastern Mediterranean,,DJI,2006,2006,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.3 [4.5-6.0],5.30000,4.50000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2007,2007,,EMR,Eastern Mediterranean,,DJI,2007,2007,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.3 [4.5-6.1],5.30000,4.50000,6.10000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1986,1986,,EMR,Eastern Mediterranean,,DJI,1986,1986,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.2 [4.5-5.9],5.20000,4.50000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1987,1987,,EMR,Eastern Mediterranean,,DJI,1987,1987,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.2 [4.5-5.9],5.20000,4.50000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1988,1988,,EMR,Eastern Mediterranean,,DJI,1988,1988,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.2 [4.6-5.9],5.20000,4.60000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1989,1989,,EMR,Eastern Mediterranean,,DJI,1989,1989,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.2 [4.6-5.9],5.20000,4.60000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2002,2002,,EMR,Eastern Mediterranean,,DJI,2002,2002,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.3 [4.7-6.0],5.30000,4.70000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2003,2003,,EMR,Eastern Mediterranean,,DJI,2003,2003,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.3 [4.7-6.0],5.30000,4.70000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2004,2004,,EMR,Eastern Mediterranean,,DJI,2004,2004,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.3 [4.7-6.1],5.30000,4.70000,6.10000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2005,2005,,EMR,Eastern Mediterranean,,DJI,2005,2005,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.4 [4.6-6.1],5.40000,4.60000,6.10000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1991,1991,,EMR,Eastern Mediterranean,,DJI,1991,1991,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,129.4 [121.8-137.0],129.40000,121.80000,137.00000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1992,1992,,EMR,Eastern Mediterranean,,DJI,1992,1992,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,129.3 [121.5-136.9],129.30000,121.50000,136.90000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1993,1993,,EMR,Eastern Mediterranean,,DJI,1993,1993,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,129.2 [121.5-136.8],129.20000,121.50000,136.80000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1994,1994,,EMR,Eastern Mediterranean,,DJI,1994,1994,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,129.0 [121.3-136.6],129.00000,121.30000,136.60000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1995,1995,,EMR,Eastern Mediterranean,,DJI,1995,1995,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,128.9 [121.2-136.5],128.90000,121.20000,136.50000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2008,2008,,EMR,Eastern Mediterranean,,DJI,2008,2008,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,130.9 [122.8-139.2],130.90000,122.80000,139.20000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2009,2009,,EMR,Eastern Mediterranean,,DJI,2009,2009,Djibouti,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,131.3 [122.6-140.0],131.30000,122.60000,140.00000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1990,1990,,EMR,Eastern Mediterranean,,DJI,1990,1990,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,125.8 [117.8-133.8],125.80000,117.80000,133.80000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1991,1991,,EMR,Eastern Mediterranean,,DJI,1991,1991,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,125.8 [117.7-133.7],125.80000,117.70000,133.70000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1992,1992,,EMR,Eastern Mediterranean,,DJI,1992,1992,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,125.7 [117.7-133.6],125.70000,117.70000,133.60000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1993,1993,,EMR,Eastern Mediterranean,,DJI,1993,1993,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,125.6 [117.5-133.4],125.60000,117.50000,133.40000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2006,2006,,EMR,Eastern Mediterranean,,DJI,2006,2006,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,125.6 [117.2-133.5],125.60000,117.20000,133.50000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2007,2007,,EMR,Eastern Mediterranean,,DJI,2007,2007,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,125.7 [117.2-133.9],125.70000,117.20000,133.90000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2008,2008,,EMR,Eastern Mediterranean,,DJI,2008,2008,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,125.9 [117.0-134.4],125.90000,117.00000,134.40000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2009,2009,,EMR,Eastern Mediterranean,,DJI,2009,2009,Djibouti,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,126.0 [116.5-135.1],126.00000,116.50000,135.10000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2008,2008,,EMR,Eastern Mediterranean,,DJI,2008,2008,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,23.3 [20.9-25.7],23.30000,20.90000,25.70000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2001,2001,,EMR,Eastern Mediterranean,,DJI,2001,2001,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,32.6 [23.9-42.4],32.60000,23.90000,42.40000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,DJI,2010,2010,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,29.7 [20.9-39.7],29.70000,20.90000,39.70000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2011,2011,,EMR,Eastern Mediterranean,,DJI,2011,2011,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,29.3 [20.3-39.5],29.30000,20.30000,39.50000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2012,2012,,EMR,Eastern Mediterranean,,DJI,2012,2012,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,29.0 [19.7-39.6],29.00000,19.70000,39.60000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1980,1980,,EMR,Eastern Mediterranean,,DJI,1980,1980,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,39.8 [28.5-51.4],39.80000,28.50000,51.40000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1989,1989,,EMR,Eastern Mediterranean,,DJI,1989,1989,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,37.2 [27.5-47.5],37.20000,27.50000,47.50000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1991,1991,,EMR,Eastern Mediterranean,,DJI,1991,1991,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,36.3 [26.7-46.6],36.30000,26.70000,46.60000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1988,1988,,EMR,Eastern Mediterranean,,DJI,1988,1988,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,37.5 [27.7-47.9],37.50000,27.70000,47.90000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1990,1990,,EMR,Eastern Mediterranean,,DJI,1990,1990,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,36.7 [27.1-47.0],36.70000,27.10000,47.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1996,1996,,EMR,Eastern Mediterranean,,DJI,1996,1996,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,34.3 [25.0-44.4],34.30000,25.00000,44.40000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1999,1999,,EMR,Eastern Mediterranean,,DJI,1999,1999,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,33.2 [24.3-43.2],33.20000,24.30000,43.20000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,DJI,2010,2010,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,27.2 [19.1-36.2],27.20000,19.10000,36.20000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2011,2011,,EMR,Eastern Mediterranean,,DJI,2011,2011,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,26.9 [18.6-36.1],26.90000,18.60000,36.10000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2006,2006,,EMR,Eastern Mediterranean,,DJI,2006,2006,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,28.6 [20.7-37.0],28.60000,20.70000,37.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2003,2003,,EMR,Eastern Mediterranean,,DJI,2003,2003,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,29.7 [21.7-38.2],29.70000,21.70000,38.20000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2012,2012,,EMR,Eastern Mediterranean,,DJI,2012,2012,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,26.5 [18.0-36.0],26.50000,18.00000,36.00000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2009,2009,,EMR,Eastern Mediterranean,,DJI,2009,2009,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,24.4 [16.8-33.1],24.40000,16.80000,33.10000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,DJI,2015,2015,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,23.4 [14.2-34.8],23.40000,14.20000,34.80000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2002,2002,,EMR,Eastern Mediterranean,,DJI,2002,2002,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,26.1 [18.5-35.0],26.10000,18.50000,35.00000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2003,2003,,EMR,Eastern Mediterranean,,DJI,2003,2003,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,25.8 [18.3-34.6],25.80000,18.30000,34.60000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2011,2011,,EMR,Eastern Mediterranean,,DJI,2011,2011,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,23.9 [16.1-33.3],23.90000,16.10000,33.30000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2012,2012,,EMR,Eastern Mediterranean,,DJI,2012,2012,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,23.7 [15.7-33.6],23.70000,15.70000,33.60000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1979,1979,,EMR,Eastern Mediterranean,,DJI,1979,1979,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,32.3 [21.9-43.8],32.30000,21.90000,43.80000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1985,1985,,EMR,Eastern Mediterranean,,DJI,1985,1985,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,30.8 [21.8-40.7],30.80000,21.80000,40.70000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1986,1986,,EMR,Eastern Mediterranean,,DJI,1986,1986,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,30.5 [21.7-40.2],30.50000,21.70000,40.20000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1987,1987,,EMR,Eastern Mediterranean,,DJI,1987,1987,Djibouti,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,30.2 [21.5-39.8],30.20000,21.50000,39.80000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1984,1984,,EMR,Eastern Mediterranean,,DJI,1984,1984,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,28.0 [19.4-37.7],28.00000,19.40000,37.70000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1990,1990,,EMR,Eastern Mediterranean,,DJI,1990,1990,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,26.3 [18.6-35.4],26.30000,18.60000,35.40000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2007,2007,,EMR,Eastern Mediterranean,,DJI,2007,2007,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,21.5 [14.8-29.0],21.50000,14.80000,29.00000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1978,1978,,EMR,Eastern Mediterranean,,DJI,1978,1978,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,29.1 [19.1-40.9],29.10000,19.10000,40.90000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1979,1979,,EMR,Eastern Mediterranean,,DJI,1979,1979,Djibouti,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,28.9 [19.2-40.2],28.90000,19.20000,40.20000,,,
